step   first_run   mean_reward_runs   std_reward_runs   percentage_opt_action
0 1 0.8265 0.239904 0.0995
1 0.858943 0.834616 0.237002 0.103
2 1 0.837561 0.230372 0.097
3 0.513535 0.834656 0.237181 0.1065
4 0.303995 0.843002 0.225149 0.1055
5 1 0.838995 0.23346 0.1095
6 0.0914029 0.840125 0.229642 0.116
7 1 0.835549 0.235127 0.106
8 1 0.853541 0.221109 0.1125
9 1 0.840626 0.233239 0.124
10 0.988525 0.844451 0.230931 0.113
11 1 0.850254 0.226198 0.1135
12 1 0.840533 0.231543 0.1
13 1 0.843666 0.228288 0.1095
14 0.0089114 0.853464 0.221162 0.1235
15 1 0.851788 0.221059 0.1235
16 0.531663 0.846821 0.227033 0.1285
17 1 0.84205 0.228274 0.1085
18 0.601764 0.853422 0.221971 0.1235
19 1 0.855567 0.21778 0.118
20 1 0.847514 0.22588 0.1235
21 1 0.855629 0.219655 0.123
22 1 0.850364 0.223679 0.1145
23 1 0.859202 0.214234 0.12
24 1 0.855694 0.224997 0.122
25 1 0.855353 0.222959 0.1245
26 0.783319 0.851699 0.227701 0.12
27 1 0.851647 0.21572 0.1175
28 1 0.860514 0.216663 0.126
29 1 0.856892 0.215379 0.1235
30 0.875973 0.84937 0.226708 0.11
31 1 0.854366 0.218982 0.118
32 0.955901 0.852623 0.226989 0.1215
33 0.925718 0.85284 0.219443 0.105
34 0.539354 0.858497 0.21513 0.12
35 1 0.850707 0.224929 0.1165
36 0.462081 0.856541 0.220884 0.1025
37 1 0.847901 0.229142 0.115
38 0.862239 0.85468 0.224661 0.1195
39 1 0.850317 0.223755 0.111
40 0.779656 0.856688 0.22384 0.125
41 0.843654 0.865548 0.21476 0.1215
42 0.996796 0.852816 0.215569 0.1285
43 0.999695 0.856446 0.219859 0.107
44 1 0.859015 0.21476 0.1135
45 1 0.850963 0.224914 0.117
46 1 0.860148 0.217659 0.112
47 0.297281 0.858616 0.217999 0.1045
48 1 0.855309 0.224117 0.1165
49 1 0.844285 0.22699 0.11
50 1 0.85447 0.221963 0.1285
51 1 0.856663 0.220912 0.1275
52 0.677206 0.851719 0.224794 0.111
53 0.0562151 0.856314 0.217586 0.123
54 1 0.84806 0.223761 0.107
55 0.91879 0.844281 0.229841 0.1175
56 1 0.858967 0.214226 0.1135
57 0.272897 0.858142 0.216805 0.119
58 0.587909 0.860838 0.216491 0.1185
59 1 0.854249 0.220586 0.1145
60 0.837611 0.858805 0.216965 0.1135
61 0.726493 0.859849 0.215509 0.117
62 1 0.854699 0.220244 0.1185
63 1 0.867159 0.208379 0.109
64 1 0.849457 0.223745 0.119
65 1 0.836246 0.229711 0.1165
66 1 0.852823 0.227489 0.1225
67 0.949156 0.853079 0.219841 0.11
68 1 0.858608 0.218341 0.1355
69 1 0.86712 0.210548 0.1085
70 0.599048 0.856964 0.221136 0.1255
71 1 0.853253 0.22638 0.113
72 0.735008 0.850216 0.226976 0.118
73 0.608966 0.849758 0.222362 0.1085
74 1 0.855893 0.221095 0.123
75 1 0.859704 0.217145 0.118
