step   first_run   mean_reward_runs   std_reward_runs   percentage_opt_action
0 -1.03509 -0.593066 0.89562 0.0955
1 -1.03509 -0.562824 0.897148 0.1005
2 -0.771658 -0.598216 0.880194 0.0995
3 -1.19582 -0.589707 0.887074 0.0985
4 -2.01777 -0.571763 0.875981 0.0925
5 -0.360635 -0.547337 0.877039 0.097
6 1.02819 -0.565997 0.87553 0.0945
7 -0.360635 -0.538958 0.901084 0.1075
8 -2.01777 -0.486249 0.914056 0.1195
9 -2.01777 -0.510962 0.917774 0.1095
10 -1.19582 -0.525641 0.87901 0.091
11 -1.19582 -0.473063 0.914251 0.1185
12 -0.974326 -0.476966 0.92025 0.1095
13 -0.360635 -0.462873 0.919525 0.118
14 -0.292764 -0.424887 0.931587 0.1415
15 -1.03509 -0.503941 0.901912 0.1115
16 -0.771658 -0.45669 0.914601 0.1155
17 -1.19582 -0.400132 0.926659 0.1355
18 -1.19582 -0.397005 0.908313 0.1355
19 1.02819 -0.417557 0.934519 0.1345
20 -0.360635 -0.439834 0.921061 0.125
21 0.909085 -0.393166 0.938961 0.135
22 -0.360635 -0.408401 0.935606 0.1295
23 -2.01777 -0.37936 0.946138 0.1405
24 -0.974326 -0.330447 0.972028 0.173
25 -2.01777 -0.329187 0.950679 0.157
26 -0.292764 -0.348748 0.945279 0.1505
27 -1.03509 -0.34841 0.967849 0.162
28 0.909085 -0.303167 0.957226 0.16
29 -0.292764 -0.301261 0.932589 0.1525
30 -0.360635 -0.298971 0.95555 0.1705
31 -0.771658 -0.277248 0.966239 0.1755
32 -0.292764 -0.290891 0.957245 0.17
33 -0.360635 -0.24946 0.96901 0.1765
34 -2.01777 -0.255137 0.963723 0.183
35 0.909085 -0.236091 0.971925 0.1795
36 0.909085 -0.203723 0.978733 0.195
37 -0.975463 -0.266661 0.966902 0.1775
38 -0.360635 -0.158062 0.973634 0.2025
39 -1.19582 -0.182692 0.979587 0.2165
40 0.909085 -0.170451 0.966866 0.2085
41 -0.975463 -0.151963 0.993294 0.209
42 -0.360635 -0.109177 0.978241 0.209
43 0.909085 -0.131694 0.983562 0.2295
44 -0.360635 -0.102202 0.981918 0.21
45 1.02819 -0.0746594 0.973403 0.232
46 -0.771658 -0.0464207 0.966523 0.238
47 -2.01777 -0.0699526 0.984558 0.2255
48 -1.19582 -0.0499305 0.981921 0.2345
49 0.909085 -0.0164359 0.985165 0.2535
50 -1.03509 -0.0425252 0.973722 0.232
51 0.909085 -0.00660622 0.981878 0.2605
52 -0.292764 0.0316295 0.97095 0.264
53 -0.974326 0.0598259 0.961475 0.2715
54 -0.771658 0.0609521 0.972757 0.272
55 -0.975463 0.0614486 0.972668 0.2835
56 1.02819 0.0630056 0.97997 0.2835
57 0.909085 0.0756597 0.98625 0.2775
58 0.909085 0.100701 0.974622 0.282
59 0.909085 0.101385 0.983281 0.287
60 0.909085 0.1434 0.96827 0.2895
61 -0.771658 0.0933154 0.992574 0.302
62 -0.771658 0.19646 0.938351 0.324
63 1.02819 0.191736 0.963343 0.316
64 -1.03509 0.178492 0.966004 0.317
65 -0.292764 0.194871 0.948235 0.3135
66 -2.01777 0.22079 0.957482 0.34
67 -0.771658 0.243593 0.933999 0.327
68 0.909085 0.238455 0.947865 0.3335
69 -0.974326 0.243725 0.952565 0.3475
70 0.909085 0.285545 0.933491 0.3595
71 -0.360635 0.283404 0.931728 0.3465
72 -0.360635 0.324142 0.907397 0.355
73 0.909085 0.286839 0.943502 0.344
74 -1.03509 0.318609 0.931363 0.369
75 0.909085 0.33725 0.912622 0.3575
76 0.909085 0.343522 0.902782 0.3535
77 0.909085 0.356286 0.903015 0.367
78 -0.292764 0.340173 0.912323 0.3535
79 0.909085 0.37971 0.908275 0.3845
80 0.909085 0.381136 0.889827 0.383
81 0.909085 0.370357 0.902059 0.3685
82 -0.771658 0.403262 0.897991 0.4045
83 -0.771658 0.411659 0.878388 0.3955
84 -0.292764 0.428426 0.885314 0.408
85 -1.03509 0.449672 0.869207 0.4085
86 0.909085 0.442669 0.876491 0.4205
87 -0.292764 0.466157 0.8602 0.415
88 0.909085 0.473036 0.864695 0.4315
89 0.909085 0.470639 0.858053 0.435
90 0.909085 0.534232 0.818314 0.443
91 -0.975463 0.500942 0.833208 0.4285
92 0.909085 0.538974 0.80915 0.444
93 -0.974326 0.521859 0.824108 0.449
94 0.909085 0.545257 0.799373 0.4445
95 1.02819 0.533433 0.813399 0.44
96 -0.360635 0.549468 0.814246 0.4565
97 -0.771658 0.575724 0.786288 0.4515
98 0.909085 0.574806 0.796088 0.451
99 0.909085 0.568976 0.783817 0.456
100 0.909085 0.552451 0.808275 0.45
101 -1.03509 0.593815 0.76983 0.46
102 0.909085 0.622077 0.748169 0.4805
103 0.909085 0.595885 0.777062 0.464
104 0.909085 0.603877 0.76441 0.468
105 0.909085 0.633232 0.74171 0.485
106 0.909085 0.641593 0.725568 0.478
107 0.909085 0.630701 0.752569 0.4765
108 0.909085 0.680219 0.691651 0.495
109 0.909085 0.672353 0.703363 0.4995
110 0.909085 0.667255 0.70819 0.5015
111 0.909085 0.653019 0.729141 0.496
112 0.909085 0.697532 0.670107 0.49
113 -0.975463 0.673266 0.723853 0.4905
114 -0.360635 0.661388 0.723032 0.501
115 0.909085 0.704198 0.674957 0.5055
116 -1.19582 0.683612 0.712303 0.5175
117 0.909085 0.673624 0.713096 0.5035
118 0.909085 0.695051 0.679443 0.505
119 0.909085 0.671192 0.706838 0.4935
120 1.02819 0.701875 0.677262 0.508
121 0.909085 0.719904 0.662618 0.522
122 0.909085 0.705079 0.675362 0.5195
123 -0.360635 0.744087 0.627833 0.535
124 0.909085 0.729322 0.657968 0.524
125 0.909085 0.711575 0.679939 0.537
126 0.909085 0.723842 0.661229 0.5285
127 0.909085 0.732228 0.652508 0.5405
128 0.909085 0.74475 0.637455 0.534
129 -1.03509 0.767062 0.602647 0.5425
130 0.909085 0.750185 0.631826 0.5455
131 -0.360635 0.765587 0.611503 0.548
132 0.909085 0.731197 0.647503 0.528
133 0.909085 0.75748 0.6157 0.5325
134 0.909085 0.755202 0.619743 0.5485
135 0.909085 0.768468 0.605737 0.5425
136 -0.360635 0.789196 0.575837 0.549
137 0.909085 0.761315 0.621466 0.5485
138 0.909085 0.790048 0.588481 0.5545
139 0.909085 0.768827 0.616827 0.556
140 0.909085 0.793178 0.586248 0.565
141 -2.01777 0.765669 0.621078 0.5495
142 0.909085 0.796221 0.580493 0.562
143 0.909085 0.779323 0.594575 0.5615
144 0.909085 0.787355 0.589435 0.5685
145 0.909085 0.801115 0.56161 0.5725
146 0.909085 0.78053 0.606024 0.5505
147 0.909085 0.823876 0.521661 0.575
148 0.909085 0.818718 0.538484 0.57
149 0.909085 0.821697 0.534594 0.5625
150 0.909085 0.797492 0.568563 0.5645
151 0.909085 0.770777 0.611785 0.5585
152 0.909085 0.809021 0.556725 0.5845
153 0.909085 0.818026 0.537053 0.5695
154 0.909085 0.805758 0.565139 0.5665
155 0.909085 0.833089 0.517527 0.5725
156 0.909085 0.817355 0.553876 0.5875
157 0.909085 0.821509 0.532912 0.577
158 -1.19582 0.82501 0.537858 0.587
159 -0.360635 0.847833 0.514946 0.591
160 0.909085 0.852501 0.493677 0.5935
161 0.909085 0.82966 0.535548 0.5845
162 0.909085 0.824724 0.534395 0.5905
163 0.909085 0.831822 0.523842 0.588
164 0.909085 0.850161 0.501759 0.5975
165 1.02819 0.829705 0.533641 0.58
166 0.909085 0.813408 0.561224 0.5775
167 0.909085 0.871649 0.450129 0.5875
168 0.909085 0.844875 0.502887 0.581
169 0.909085 0.837312 0.512058 0.5895
170 0.909085 0.859946 0.48512 0.593
171 0.909085 0.860167 0.483449 0.605
172 0.909085 0.85895 0.479381 0.601
173 0.909085 0.856658 0.47874 0.598
174 0.909085 0.850002 0.496735 0.586
175 0.909085 0.859193 0.48704 0.6
176 0.909085 0.874404 0.453286 0.6135
177 0.909085 0.875427 0.450126 0.6095
178 0.909085 0.860123 0.480481 0.591
179 0.909085 0.872243 0.45523 0.5985
180 0.909085 0.868605 0.461275 0.612
181 -0.771658 0.866902 0.480152 0.6095
182 0.909085 0.868639 0.46933 0.612
183 0.909085 0.899741 0.407355 0.6215
184 0.909085 0.883185 0.439497 0.614
185 0.909085 0.879265 0.441206 0.614
186 -2.01777 0.88836 0.41166 0.615
187 0.909085 0.85995 0.489217 0.6035
188 0.909085 0.888353 0.437575 0.6105
189 0.909085 0.882103 0.428889 0.603
190 0.909085 0.877552 0.44176 0.613
191 0.909085 0.85989 0.495961 0.617
192 0.909085 0.897586 0.408961 0.624
193 0.909085 0.880084 0.456132 0.619
194 0.909085 0.856536 0.500875 0.6205
195 0.909085 0.884492 0.428895 0.611
196 0.909085 0.881753 0.442671 0.619
197 0.909085 0.88706 0.43453 0.628
198 0.909085 0.884323 0.437489 0.6215
199 0.909085 0.876797 0.456427 0.6205
200 0.909085 0.88429 0.423364 0.61
201 0.909085 0.886809 0.446249 0.622
202 0.909085 0.883005 0.43526 0.612
203 0.909085 0.89942 0.401964 0.627
204 0.909085 0.885557 0.439843 0.6105
205 0.909085 0.884394 0.437413 0.621
206 0.909085 0.891148 0.410826 0.618
207 0.909085 0.891464 0.428449 0.621
208 0.909085 0.875298 0.462492 0.6165
209 0.909085 0.901146 0.395007 0.6205
210 0.909085 0.88279 0.429959 0.621
211 0.909085 0.898379 0.403678 0.6255
212 0.909085 0.886411 0.435534 0.6225
213 0.909085 0.89485 0.411075 0.6165
214 0.909085 0.885004 0.453938 0.625
215 0.909085 0.891593 0.426908 0.6175
216 0.909085 0.901282 0.398738 0.6205
217 0.909085 0.908689 0.382989 0.6315
218 0.909085 0.917698 0.363301 0.6365
219 0.909085 0.904954 0.397768 0.6405
220 0.909085 0.910369 0.381172 0.6325
221 -1.03509 0.906301 0.395431 0.6315
222 0.909085 0.904087 0.397205 0.6325
223 0.909085 0.88861 0.432426 0.618
224 0.909085 0.88114 0.445513 0.6215
225 0.909085 0.904568 0.400452 0.6265
226 0.909085 0.913988 0.38425 0.641
227 0.909085 0.905679 0.403032 0.644
228 0.909085 0.891774 0.436007 0.6275
229 -0.975463 0.904182 0.413469 0.6275
230 0.909085 0.907823 0.400067 0.6335
231 0.909085 0.909488 0.385438 0.6325
232 0.909085 0.916274 0.368182 0.6385
233 0.909085 0.921116 0.351366 0.638
234 0.909085 0.905118 0.38728 0.629
235 0.909085 0.904944 0.390848 0.632
236 0.909085 0.896324 0.412499 0.621
237 0.909085 0.909538 0.386614 0.6405
238 0.909085 0.893874 0.427415 0.6355
239 0.909085 0.906396 0.390351 0.6315
240 0.909085 0.908647 0.393084 0.632
241 0.909085 0.918671 0.364728 0.637
242 0.909085 0.92975 0.326981 0.65
243 0.909085 0.907551 0.389865 0.635
244 0.909085 0.921477 0.359497 0.6435
245 0.909085 0.907815 0.385762 0.636
246 0.909085 0.919876 0.354686 0.634
247 0.909085 0.909545 0.394155 0.6445
248 0.909085 0.927569 0.339966 0.643
249 0.909085 0.921327 0.357915 0.646
250 -0.771658 0.923992 0.365635 0.6525
251 0.909085 0.923377 0.352045 0.6415
252 1.02819 0.911548 0.379546 0.639
253 0.909085 0.905596 0.400564 0.6515
254 0.909085 0.923766 0.35295 0.645
255 0.909085 0.921414 0.374749 0.6535
256 0.909085 0.922941 0.356672 0.645
257 0.909085 0.939472 0.309858 0.658
258 0.909085 0.928192 0.342203 0.65
259 0.909085 0.92149 0.36328 0.6415
260 0.909085 0.932681 0.341965 0.6575
261 -0.771658 0.935431 0.32353 0.656
262 0.909085 0.927275 0.341872 0.647
263 0.909085 0.935303 0.314157 0.653
264 0.909085 0.924096 0.357716 0.6505
265 0.909085 0.927685 0.336022 0.6445
266 -0.974326 0.921162 0.360631 0.654
267 0.909085 0.931821 0.327668 0.65
268 0.909085 0.90655 0.408025 0.648
269 0.909085 0.931663 0.332277 0.6445
270 0.909085 0.936306 0.307453 0.6465
271 0.909085 0.923969 0.354358 0.652
272 0.909085 0.934724 0.317087 0.6555
273 0.909085 0.925128 0.350102 0.646
274 0.909085 0.935239 0.319713 0.65
275 0.909085 0.928006 0.341514 0.651
276 0.909085 0.920512 0.373823 0.654
277 0.909085 0.932095 0.346511 0.663
278 0.909085 0.932723 0.340986 0.652
279 0.909085 0.925237 0.350254 0.655
280 0.909085 0.938758 0.312208 0.6615
281 0.909085 0.929388 0.341734 0.6565
282 0.909085 0.926317 0.343913 0.6495
283 0.909085 0.924346 0.350403 0.6505
284 0.909085 0.928845 0.346635 0.645
285 0.909085 0.936924 0.323623 0.653
286 0.909085 0.944532 0.302694 0.661
287 0.909085 0.940992 0.29893 0.659
288 0.909085 0.935275 0.329647 0.655
289 0.909085 0.934123 0.333217 0.6585
290 0.909085 0.945978 0.279414 0.6585
291 0.909085 0.930716 0.346851 0.655
292 0.909085 0.935783 0.317689 0.656
293 0.909085 0.933297 0.337513 0.6565
294 0.909085 0.940152 0.300442 0.6565
295 0.909085 0.940885 0.308176 0.66
296 0.909085 0.940138 0.312743 0.6605
297 0.909085 0.934391 0.33418 0.662
298 0.909085 0.930738 0.339263 0.654
299 0.909085 0.950419 0.284148 0.6655
300 0.909085 0.942763 0.307831 0.668
301 0.909085 0.938639 0.316819 0.6575
302 0.909085 0.935981 0.328793 0.6635
303 0.909085 0.951055 0.278946 0.668
304 0.909085 0.94946 0.284757 0.663
305 0.909085 0.939157 0.310772 0.6635
306 0.909085 0.938258 0.310462 0.655
307 0.909085 0.936114 0.331226 0.66
308 0.909085 0.939957 0.318283 0.663
309 0.909085 0.945889 0.3023 0.669
310 0.909085 0.945487 0.286207 0.659
311 0.909085 0.942876 0.304255 0.6595
312 0.909085 0.943065 0.304452 0.6635
313 0.909085 0.951303 0.270653 0.6645
314 0.909085 0.941935 0.303133 0.6605
315 0.909085 0.928123 0.357139 0.6565
316 0.909085 0.938249 0.338839 0.6635
317 0.909085 0.943525 0.310471 0.665
318 0.909085 0.933197 0.339157 0.6655
319 0.909085 0.956382 0.255064 0.665
320 0.909085 0.937687 0.325294 0.6585
321 0.909085 0.947311 0.290681 0.6645
322 0.909085 0.938464 0.317619 0.6675
323 0.909085 0.951762 0.279245 0.671
324 0.909085 0.947572 0.286282 0.662
325 0.909085 0.950739 0.292264 0.665
326 0.909085 0.943778 0.304879 0.6635
327 0.909085 0.951388 0.274162 0.67
328 0.909085 0.940737 0.316091 0.657
329 0.909085 0.95138 0.273343 0.668
330 0.909085 0.958951 0.254171 0.6735
331 0.909085 0.932246 0.343976 0.66
332 0.909085 0.942839 0.3087 0.671
333 0.909085 0.946197 0.291322 0.6675
334 0.909085 0.946825 0.292812 0.663
335 0.909085 0.93669 0.319387 0.6585
336 0.909085 0.934823 0.325995 0.656
337 -0.771658 0.955898 0.259267 0.6685
338 0.909085 0.946058 0.300775 0.67
339 0.909085 0.946666 0.288067 0.664
340 -0.771658 0.941696 0.30829 0.6595
341 0.909085 0.955148 0.267533 0.6655
342 0.909085 0.94205 0.312092 0.6685
343 0.909085 0.955306 0.25416 0.6595
344 0.909085 0.950215 0.277078 0.667
345 0.909085 0.95496 0.257073 0.6715
346 0.909085 0.952852 0.265037 0.6635
347 0.909085 0.944877 0.31139 0.6595
348 0.909085 0.951286 0.283805 0.6705
349 0.909085 0.95187 0.273602 0.668
350 0.909085 0.951478 0.281452 0.6645
351 0.909085 0.947739 0.288218 0.664
352 0.909085 0.948345 0.292178 0.6695
353 0.909085 0.954412 0.25984 0.6675
354 0.909085 0.95115 0.280017 0.6675
355 0.909085 0.956776 0.260168 0.6725
356 0.909085 0.944482 0.310428 0.6685
357 0.909085 0.955189 0.253912 0.667
358 0.909085 0.945976 0.298822 0.673
359 0.909085 0.948992 0.28154 0.6605
360 0.909085 0.943773 0.310283 0.6705
361 0.909085 0.94863 0.286548 0.668
362 0.909085 0.956417 0.253796 0.6705
363 0.909085 0.955643 0.258841 0.6715
364 0.909085 0.958521 0.248631 0.675
365 0.909085 0.946852 0.297048 0.666
366 0.909085 0.955681 0.263299 0.669
367 0.909085 0.953123 0.278364 0.6745
368 0.909085 0.957993 0.261838 0.6745
369 1.02819 0.95481 0.271586 0.6775
370 0.909085 0.952916 0.27108 0.672
371 0.909085 0.948828 0.275062 0.6615
372 0.909085 0.955443 0.264736 0.668
373 0.909085 0.954622 0.27211 0.6765
374 0.909085 0.956507 0.256468 0.676
375 0.909085 0.961731 0.230404 0.671
376 -0.974326 0.959009 0.240677 0.6705
377 0.909085 0.956093 0.255944 0.6745
378 0.909085 0.954001 0.270632 0.672
379 0.909085 0.953069 0.274325 0.676
380 0.909085 0.954559 0.26605 0.676
381 0.909085 0.961454 0.248386 0.6805
382 0.909085 0.963392 0.228984 0.679
383 0.909085 0.963215 0.239562 0.682
384 0.909085 0.95488 0.268139 0.679
385 0.909085 0.945765 0.297633 0.666
386 0.909085 0.953284 0.269602 0.673
387 0.909085 0.949604 0.285398 0.6775
388 0.909085 0.959381 0.251542 0.683
389 0.909085 0.958759 0.245516 0.674
390 0.909085 0.967708 0.211964 0.679
391 0.909085 0.951671 0.283298 0.676
392 0.909085 0.941593 0.319581 0.669
393 0.909085 0.952964 0.282011 0.6785
394 0.909085 0.960139 0.240122 0.675
395 0.909085 0.954198 0.266781 0.671
396 0.909085 0.956942 0.252476 0.6765
397 0.909085 0.959408 0.249352 0.6855
398 0.909085 0.956088 0.266665 0.676
399 0.909085 0.965119 0.227412 0.681
400 0.909085 0.956718 0.268372 0.679
401 0.909085 0.96689 0.222299 0.687
402 0.909085 0.954031 0.264187 0.671
403 0.909085 0.956511 0.263826 0.6845
404 0.909085 0.955078 0.277286 0.6765
405 0.909085 0.950155 0.286659 0.676
406 0.909085 0.952742 0.288277 0.6815
407 0.909085 0.955873 0.26614 0.673
408 0.909085 0.962908 0.24211 0.68
409 0.909085 0.961312 0.245302 0.672
410 0.909085 0.956154 0.264512 0.672
411 0.909085 0.959839 0.247263 0.676
412 0.909085 0.952991 0.279586 0.676
413 -0.974326 0.962914 0.247577 0.676
414 0.909085 0.964278 0.229991 0.682
415 0.909085 0.961045 0.241879 0.6785
416 0.909085 0.962684 0.237131 0.683
417 0.909085 0.951424 0.285913 0.6765
418 1.02819 0.958992 0.256063 0.6765
419 0.909085 0.964 0.233652 0.6825
420 0.909085 0.968263 0.213942 0.6885
421 0.909085 0.964113 0.226643 0.6825
422 0.909085 0.959309 0.24434 0.678
423 0.909085 0.965202 0.22133 0.6775
424 0.909085 0.962469 0.228681 0.681
425 0.909085 0.964311 0.236077 0.683
426 0.909085 0.96698 0.233114 0.685
427 0.909085 0.962825 0.232623 0.673
428 0.909085 0.959492 0.255244 0.68
429 0.909085 0.962954 0.243477 0.682
430 0.909085 0.958666 0.248096 0.6795
431 0.909085 0.958043 0.262291 0.679
432 0.909085 0.969516 0.211493 0.685
433 0.909085 0.956403 0.259933 0.6825
434 0.909085 0.960232 0.253023 0.68
435 0.909085 0.96532 0.232311 0.6785
436 0.909085 0.95699 0.253955 0.6805
437 0.909085 0.960974 0.255076 0.6855
438 0.909085 0.967743 0.213683 0.688
439 0.909085 0.967487 0.222191 0.683
440 0.909085 0.961919 0.246102 0.6835
441 0.909085 0.966941 0.225454 0.6805
442 0.909085 0.966033 0.226381 0.6845
443 0.909085 0.969241 0.210846 0.6815
444 0.909085 0.963466 0.243893 0.678
445 0.909085 0.953108 0.276025 0.6715
446 0.909085 0.964074 0.233112 0.679
447 0.909085 0.960616 0.243137 0.683
448 0.909085 0.962679 0.229096 0.6735
449 0.909085 0.958341 0.245224 0.6755
450 0.909085 0.959581 0.260736 0.682
451 0.909085 0.964257 0.234505 0.6805
452 0.909085 0.954097 0.272406 0.6785
453 0.909085 0.959247 0.256911 0.676
454 0.909085 0.954098 0.27544 0.6735
455 0.909085 0.960593 0.242757 0.6805
456 0.909085 0.963031 0.244466 0.68
457 0.909085 0.965391 0.224523 0.68
458 0.909085 0.958416 0.253369 0.6755
459 0.909085 0.965673 0.227316 0.6855
460 0.909085 0.965069 0.23301 0.687
461 0.909085 0.967789 0.207025 0.6795
462 0.909085 0.967478 0.220466 0.688
463 0.909085 0.965884 0.234086 0.6875
464 0.909085 0.970085 0.200091 0.685
465 0.909085 0.969547 0.21371 0.6815
466 0.909085 0.948183 0.303051 0.6735
467 0.909085 0.950398 0.291586 0.683
468 0.909085 0.964259 0.240142 0.6825
469 0.909085 0.966174 0.229715 0.6865
470 0.909085 0.964437 0.224042 0.6815
471 0.909085 0.967264 0.217252 0.681
472 0.909085 0.96264 0.251046 0.684
473 0.909085 0.968402 0.217547 0.683
474 0.909085 0.960971 0.252823 0.683
475 0.909085 0.964109 0.238563 0.6815
476 0.909085 0.954089 0.274676 0.6785
477 0.909085 0.967909 0.211008 0.6845
478 0.909085 0.963053 0.240206 0.688
479 0.909085 0.973449 0.194402 0.682
480 0.909085 0.966866 0.212951 0.683
481 0.909085 0.96723 0.218696 0.683
482 0.909085 0.964665 0.238318 0.6795
483 0.909085 0.975476 0.182558 0.6815
484 0.909085 0.96387 0.241327 0.6855
485 0.909085 0.963902 0.243803 0.6855
486 0.909085 0.963926 0.242787 0.6855
487 0.909085 0.955364 0.266702 0.6795
488 0.909085 0.966399 0.232967 0.6925
489 0.909085 0.959481 0.261049 0.68
490 0.909085 0.96206 0.235969 0.688
491 0.909085 0.968413 0.21826 0.685
492 0.909085 0.962703 0.241182 0.676
493 0.909085 0.965623 0.229224 0.6895
494 0.909085 0.968696 0.210785 0.6845
495 0.909085 0.971199 0.201199 0.69
496 0.909085 0.970545 0.205179 0.6885
497 0.909085 0.95677 0.262715 0.681
498 0.909085 0.961908 0.254621 0.6815
499 0.909085 0.967892 0.216277 0.6815
500 0.909085 0.964808 0.230623 0.6815
501 0.909085 0.966232 0.230022 0.687
502 0.909085 0.967326 0.213562 0.6855
503 0.909085 0.971506 0.192757 0.683
504 0.909085 0.956805 0.269873 0.6825
505 0.909085 0.959103 0.249475 0.676
506 0.909085 0.956592 0.277277 0.6805
507 0.909085 0.967707 0.220931 0.6865
508 0.909085 0.970013 0.227703 0.6855
509 0.909085 0.962152 0.25095 0.6915
510 0.909085 0.97373 0.199266 0.689
511 0.909085 0.960901 0.250637 0.684
512 0.909085 0.965515 0.231136 0.6885
513 0.909085 0.971263 0.201377 0.688
514 0.909085 0.970154 0.208867 0.687
515 0.909085 0.962333 0.238603 0.6795
516 0.909085 0.971869 0.193829 0.685
517 0.909085 0.974317 0.197936 0.6905
518 0.909085 0.970597 0.209783 0.686
519 0.909085 0.960106 0.254997 0.679
520 0.909085 0.97248 0.198304 0.6885
521 0.909085 0.972095 0.194553 0.6875
522 0.909085 0.969634 0.216957 0.6895
523 0.909085 0.974221 0.188318 0.6845
524 0.909085 0.964855 0.242631 0.6945
525 0.909085 0.977751 0.162267 0.69
526 0.909085 0.95953 0.253757 0.684
527 0.909085 0.969126 0.211444 0.687
528 0.909085 0.973852 0.19327 0.6895
529 0.909085 0.961117 0.241628 0.684
530 0.909085 0.969734 0.212776 0.693
531 0.909085 0.969077 0.217938 0.6905
532 0.909085 0.960833 0.255743 0.6885
533 0.909085 0.966076 0.232012 0.6835
534 0.909085 0.981032 0.156333 0.6925
535 0.909085 0.969169 0.226866 0.6865
536 0.909085 0.963787 0.238739 0.6835
537 0.909085 0.965414 0.229103 0.6895
538 0.909085 0.969871 0.203467 0.6865
539 0.909085 0.966559 0.227059 0.684
540 0.909085 0.977464 0.172914 0.6935
541 0.909085 0.963812 0.242015 0.687
542 0.909085 0.9663 0.229967 0.691
543 0.909085 0.966926 0.23316 0.69
544 0.909085 0.96542 0.235046 0.686
545 0.909085 0.965601 0.218094 0.6855
546 0.909085 0.976396 0.181005 0.6935
547 0.909085 0.970373 0.20994 0.6925
548 0.909085 0.971907 0.199056 0.6885
549 0.909085 0.964826 0.226462 0.686
550 0.909085 0.966859 0.21427 0.6855
551 0.909085 0.979802 0.160243 0.6965
552 0.909085 0.979517 0.167288 0.6915
553 0.909085 0.975645 0.196714 0.7005
554 0.909085 0.973324 0.189988 0.6905
555 0.909085 0.975437 0.186109 0.693
556 0.909085 0.972639 0.203216 0.6885
557 0.909085 0.975317 0.187176 0.6905
558 0.909085 0.96539 0.237043 0.6895
559 0.909085 0.965065 0.231574 0.6885
560 0.909085 0.966675 0.225031 0.69
561 0.909085 0.966926 0.218375 0.687
562 0.909085 0.971794 0.203736 0.6885
563 0.909085 0.970422 0.210749 0.6885
564 0.909085 0.973258 0.184012 0.6895
565 0.909085 0.973058 0.197944 0.693
566 0.909085 0.966179 0.227718 0.686
567 0.909085 0.973376 0.197649 0.69
568 0.909085 0.978931 0.167376 0.695
569 0.909085 0.968143 0.219897 0.6885
570 -1.19582 0.965481 0.236705 0.6865
571 0.909085 0.970892 0.212583 0.688
572 0.909085 0.970188 0.210783 0.6885
573 0.909085 0.97447 0.193433 0.701
574 0.909085 0.969099 0.21931 0.693
575 0.909085 0.977289 0.174148 0.693
576 0.909085 0.972705 0.191463 0.689
577 0.909085 0.969347 0.220817 0.6885
578 0.909085 0.974694 0.185204 0.6915
579 0.909085 0.961674 0.251448 0.6935
580 0.909085 0.969811 0.207399 0.689
581 0.909085 0.973797 0.186677 0.6905
582 0.909085 0.972026 0.201699 0.6945
583 0.909085 0.970805 0.206817 0.6925
584 0.909085 0.969848 0.201107 0.687
585 0.909085 0.976761 0.177544 0.697
586 1.02819 0.969897 0.217388 0.694
587 0.909085 0.976766 0.184405 0.694
588 0.909085 0.970061 0.211141 0.688
589 0.909085 0.971053 0.207817 0.69
590 0.909085 0.972456 0.19674 0.689
591 0.909085 0.97235 0.208877 0.693
592 0.909085 0.967262 0.223402 0.691
593 0.909085 0.977558 0.1724 0.6935
594 0.909085 0.967906 0.234468 0.6945
595 0.909085 0.976028 0.189056 0.695
596 0.909085 0.96629 0.225563 0.694
597 0.909085 0.973035 0.197391 0.693
598 0.909085 0.974236 0.208294 0.6985
599 0.909085 0.970017 0.221933 0.692
600 0.909085 0.975177 0.19601 0.693
601 0.909085 0.971162 0.211264 0.6895
602 0.909085 0.975156 0.184504 0.6915
603 0.909085 0.979252 0.160592 0.692
604 0.909085 0.973389 0.203276 0.691
605 0.909085 0.96787 0.218567 0.6875
606 0.909085 0.968957 0.222728 0.6895
607 0.909085 0.96426 0.239067 0.684
608 0.909085 0.969604 0.215701 0.692
609 0.909085 0.976941 0.18088 0.694
610 0.909085 0.981572 0.150769 0.7015
611 0.909085 0.973374 0.201343 0.698
612 0.909085 0.973031 0.197981 0.691
613 0.909085 0.979409 0.175338 0.699
614 0.909085 0.974951 0.199499 0.6975
615 0.909085 0.975387 0.190638 0.6915
616 0.909085 0.96757 0.220198 0.687
617 0.909085 0.974606 0.188628 0.6855
618 0.909085 0.974236 0.202965 0.6965
619 0.909085 0.963759 0.231195 0.6875
620 0.909085 0.968295 0.223662 0.6935
621 0.909085 0.966691 0.224699 0.684
622 0.909085 0.975983 0.197636 0.6995
623 1.02819 0.974794 0.188631 0.7015
624 0.909085 0.974369 0.182209 0.694
625 0.909085 0.974948 0.193481 0.699
626 0.909085 0.974018 0.208604 0.697
627 0.909085 0.972059 0.208316 0.6965
628 0.909085 0.971205 0.202137 0.6935
629 0.909085 0.979753 0.162009 0.7005
630 0.909085 0.978148 0.168967 0.696
631 0.909085 0.984759 0.132819 0.699
632 0.909085 0.975265 0.190349 0.6925
633 0.909085 0.974672 0.192174 0.693
634 0.909085 0.976531 0.192173 0.6975
